code,symbol,name,h_jun,l_jul,mid_line,h_aug18,break_diff,break_pct
600326,sh600326,西藏天路,4.65,4.17,4.41,6.58,2.17,49.21
603458,sh603458,勘设股份,5.97,5.66,5.815,8.33,2.515,43.25
603559,sh603559,中通国脉,2.673,2.998,2.836,4.006,1.17,41.28
688091,sh688091,上海谊众,23.68,20.59,22.135,31.0,8.865,40.05
603863,sh603863,松炀资源,19.58,21.5,20.54,27.7,7.16,34.86
603879,sh603879,永悦科技,2.01,2.55,2.28,2.92,0.64,28.07
600778,sh600778,友好集团,3.96,3.75,3.855,4.91,1.055,27.37
600192,sh600192,长城电工,4.99,4.16,4.575,5.82,1.245,27.21
688314,sh688314,康拓医疗,18.36,16.68,17.52,22.12,4.6,26.26
600234,sh600234,科新发展,2.12,2.66,2.39,3.0,0.61,25.52
603444,sh603444,吉比特,153.367,126.327,139.847,175.377,35.53,25.41
600666,sh600666,奥瑞德,1.35,1.29,1.32,1.65,0.33,25.0
600715,sh600715,文投控股,1.324,1.307,1.316,1.635,0.319,24.29
000820,sz000820,神雾节能,2.08,2.16,2.12,2.63,0.51,24.06
600172,sh600172,黄河旋风,1.95,1.96,1.955,2.42,0.465,23.79
600322,sh600322,津投城开,1.35,1.3,1.325,1.64,0.315,23.77
688717,sh688717,艾罗能源,48.255,68.005,58.13,71.785,13.655,23.49
603336,sh603336,宏辉果蔬,3.049,3.039,3.044,3.759,0.715,23.49
688235,sh688235,百济神州,119.39,122.15,120.77,148.71,27.94,23.13
688317,sh688317,之江生物,14.511,14.141,14.326,17.531,3.205,22.37
600151,sh600151,航天机电,4.61,4.75,4.68,5.7,1.02,21.79
601162,sh601162,天风证券,2.25,2.29,2.27,2.76,0.49,21.59
600280,sh600280,中央商场,2.3,2.35,2.325,2.82,0.495,21.29
603716,sh603716,塞力医疗,5.88,6.5,6.19,7.39,1.2,19.39
603615,sh603615,茶花股份,10.76,10.23,10.495,12.46,1.965,18.72
000739,sz000739,普洛药业,12.871,12.561,12.716,15.051,2.335,18.36
603508,sh603508,思维列控,15.077,14.957,15.017,17.747,2.73,18.18
600227,sh600227,赤天化,1.24,1.41,1.325,1.56,0.235,17.74
600881,sh600881,亚泰集团,0.86,0.98,0.92,1.08,0.16,17.39
603608,sh603608,天创时尚,2.39,2.28,2.335,2.74,0.405,17.34
601929,sh601929,吉视传媒,0.93,0.99,0.96,1.12,0.16,16.67
688428,sh688428,诺诚健华,8.38,8.82,8.6,10.02,1.42,16.51
688256,sh688256,寒武纪,136.074,160.101,148.088,172.148,24.06,16.25
688229,sh688229,博睿数据,27.0,26.0,26.5,30.8,4.3,16.23
600698,sh600698,湖南天雁,3.43,3.38,3.405,3.95,0.545,16.01
600892,sh600892,大晟文化,4.18,3.45,3.815,4.42,0.605,15.86
600664,sh600664,哈药股份,2.67,3.09,2.88,3.33,0.45,15.63
600721,sh600721,百花医药,6.08,6.02,6.05,6.98,0.93,15.37
600807,sh600807,济高发展,3.0,2.72,2.86,3.29,0.43,15.03
600211,sh600211,西藏药业,29.227,28.047,28.637,32.777,4.14,14.46
603389,sh603389,亚振家居,5.35,5.16,5.255,5.99,0.735,13.99
688360,sh688360,德马科技,8.483,7.297,7.89,8.99,1.1,13.94
600273,sh600273,嘉化能源,6.419,5.839,6.129,6.979,0.85,13.87
603130,sh603130,云中马,17.35,17.96,17.655,20.04,2.385,13.51
688399,sh688399,硕世生物,28.702,30.665,29.684,33.646,3.962,13.35
603303,sh603303,得邦照明,9.962,9.442,9.702,10.912,1.21,12.47
600821,sh600821,金开新能,4.915,4.675,4.795,5.375,0.58,12.1
600463,sh600463,空港股份,7.74,8.48,8.11,9.07,0.96,11.84
603186,sh603186,华正新材,24.2,20.01,22.105,24.69,2.585,11.69
000868,sz000868,安凯客车,4.0,5.17,4.585,5.12,0.535,11.67
600231,sh600231,凌钢股份,1.38,1.3,1.34,1.49,0.15,11.19
688302,sh688302,海创药业,24.66,24.08,24.37,27.09,2.72,11.16
688266,sh688266,泽璟制药,56.5,50.11,53.305,59.18,5.875,11.02
600375,sh600375,汉马科技,3.787,3.731,3.759,4.172,0.413,10.99
601011,sh601011,宝泰隆,1.65,1.54,1.595,1.77,0.175,10.97
688205,sh688205,德科立,22.131,19.223,20.677,22.931,2.254,10.9
600376,sh600376,首开股份,2.16,2.03,2.095,2.32,0.225,10.74
603121,sh603121,华培动力,6.84,6.62,6.73,7.45,0.72,10.7
603866,sh603866,桃李面包,4.75,4.86,4.805,5.3,0.495,10.3
600328,sh600328,中盐化工,6.792,7.212,7.002,7.722,0.72,10.28
600096,sh600096,云天化,16.879,15.779,16.329,17.989,1.66,10.17
600882,sh600882,妙可蓝多,12.74,12.85,12.795,14.09,1.295,10.12
600868,sh600868,梅雁吉祥,1.66,1.73,1.695,1.86,0.165,9.73
600661,sh600661,昂立教育,11.34,9.57,10.455,11.47,1.015,9.71
